LABEL analytical,relative period,absolute period,cultural attribution,Site,Sample label,Geo Latitude,Geo Longitude,Type of site/context,Region,Artefact type,Axe type,Category,Base,As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),Chemical cluster,
HDM 2081,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2081,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,2.5,11.5,2.5,25,1600,12.4,109,1.1263402,-1.6737553,0.161283,0.1357912,0.2197812,-0.1683999,0.3673364,4,2
HDM 2082,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2082,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,2.5,3.8,3,132,2810,6.3,85,0.8185571,-1.715257,0.3977327,0.3077762,-0.2044942,-0.6874536,-0.1677835,4,2
HDM 2083,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2083,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,8,4.9,1.5,23,270,17.4,24.4,0.6044307,-1.0635251,-0.1569126,-0.4274374,-0.2564689,0.267868,0.3046197,4,2
HDM 2084,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2084,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,196,2.26,6.4,68,330,3.3,284,1.0569823,-0.009253,0.8015913,0.7982685,-0.9356146,0.3739476,-0.0369193,8,2
HDM 2085,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2085,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,1.7,0.28,5.5,118,16,0.098,45,-1.8249508,-0.7144909,0.5863925,1.0568255,-0.0961,0.3413089,-0.4992366,2,2
HDM 2088,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2088,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,3,11.1,1,37,1410,8.6,113,1.0967213,-1.6198133,-0.163808,0.2847459,0.1383421,-0.1411976,0.0786566,4,2
HDM 2089,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2089,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,loop-headed pin,unk,metal ornament,copper,8.2,1.02,16,101,280,5.8,99,0.2170806,-1.0022805,1.1691742,0.1828753,-0.5170934,0.0565986,-0.0627703,4,2
HDM 2090,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2090,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,147,9.2,2,64,750,4.4,80,1.3403795,-0.0588993,0.0388627,0.4425502,-0.6528194,-0.0878592,0.029168,9,2
HDM 2091,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2091,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,6.9,1.24,1.5,166,210,33,20.4,0.3485293,-1.2421616,0.1694481,-0.7408237,-0.7580479,0.1480271,-0.4854718,4,2
HDM 2092,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2092,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,loop-headed pin,unk,metal ornament,copper,24.8,164,2.5,186,11600,4.2,17.8,1.8874504,-0.4680148,-0.2998289,0.0825918,0.3252655,-1.687647,0.0549925,9,2
HDM 2093,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2093,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,19,25.4,2.5,97,670,23.2,60,1.4683954,-0.7267481,0.150334,-0.3287728,0.0277699,-0.1477624,-0.1406877,4,2
HDM 2096,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2096,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,36,41,2.5,74,900,5.6,217,1.6735905,-0.4559638,0.1800625,0.5071424,0.1860949,-0.1135059,-0.0961966,9,2
HDM 2097,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2097,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,9,13.4,27.2,121,2580,760,119,2.225495,-1.5770927,1.4427029,-1.2675394,-0.2361923,-0.2159023,0.1270299,4,2
HDM 2098,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2098,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,pin,unk,metal ornament,copper,3700,1750,2,36,540,22,198,3.3807655,1.4370289,-0.2914063,0.0417893,0.3729608,0.2599904,0.2287282,9,2
HDM 2099,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2099,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,double spiral headed pin,unk,metal ornament,copper,5,12.9,4,72,2210,11.3,101,1.27435,-1.3769957,0.3964167,0.1267904,0.0790298,-0.4893576,0.0844094,7,2
HDM 2100,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2100,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,double spiral headed pin,unk,metal ornament,copper,10.5,8.3,1.5,71,1400,50,10,1.1419646,-1.1655651,-0.2018283,-0.9038583,-0.4715296,-0.4872725,0.1250494,4,2
HDM 2101,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2101,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,6,0.44,7.8,101,13,0.096,22.8,-1.7116655,-0.1091034,0.5460229,0.8835809,-0.2054502,0.2768327,-0.3137324,2,2
HDM 2102,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2102,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,15,3.3,2,20,198,21.9,88,0.8365513,-1.001933,0.185015,-0.1653814,-0.4257855,0.7006513,0.2541945,4,2
HDM 2103,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2103,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,borer,unk,metal implement,copper,32,2.3,0.5,29,234,48,120,1.2053622,-1.0701128,-0.1879908,-0.2286283,-0.8804985,0.9305008,-0.0886308,4,2
HDM 2104,LC,4450-4100 BC,KGK VI?,Tell Ruse,HDM 2104,"43Â°50'8.06""N","25Â°57'56.36""E",settlement,NE,loop-headed pin,unk,metal ornament,copper,14,9.5,5.2,145,60,1.63,17.6,-0.0785375,-0.0230024,0.2436754,-0.0483658,0.212239,-0.0822481,-0.3129926,2,2
HDM 2119,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2119,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,BSC,borer,unk,metal implement,copper,7,9.7,1.5,17,930,8.6,42,0.9243526,-1.1880428,-0.2247411,0.0405093,-0.051624,-0.0822285,0.5055914,4,2
HDM 2120,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2120,"43Â° 4'27.16""N","27Â°43'28.99""E",cemetery,BSC,borer,unk,metal implement,copper,7,1.29,2,35,950,8.3,34,0.4569485,-1.3827732,0.1022502,0.0407783,-0.7376665,-0.1424166,0.2757662,4,2
HDM 2121,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2121,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,NE,bracelet,unk,metal ornament,copper,48,137,0.5,26,420,86,137,2.3701388,-0.5717731,-0.532641,-0.4846713,0.3056814,0.6076957,0.0347571,9,2
HDM 2122,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2122,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,BSC,spiral ring,unk,metal ornament,copper,31,13.5,2,26,300,72,310,1.8070817,-0.9120293,0.3316971,-0.228555,-0.1913539,0.8697423,0.0915653,4,2
HDM 2123,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2123,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,NE,spiral ring,unk,metal ornament,copper,3400,860,1.5,44,890,54,258,3.570372,1.0722869,-0.2270205,-0.097537,0.0192417,0.3141929,0.1213519,9,2
HDM 2125,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2125,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,BSC,borer,unk,metal implement,copper,990,162,15.8,117,740,38,46,2.4889727,0.9413681,0.6396604,-0.5797627,-0.1665457,-0.3344253,0.1831081,9,2
HDM 2126,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2126,"43Â° 4'27.16""N","27Â°43'28.99""E",cemetery,BSC,double spiral headed pin,unk,metal ornament,copper,2740,14.4,2,177,930,14.4,52,2.1251501,0.8598896,0.0621688,0.0105655,-1.3081447,-0.1728224,-0.2392354,9,2
HDM 2127,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2127,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,BSC,borer,unk,metal implement,copper,10,4,1.5,169,119,21.1,60,0.6413557,-0.9225393,0.2058599,-0.410403,-0.297253,0.4136479,-0.6322114,4,2
HDM 2128,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2128,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,NE,borer,unk,metal implement,copper,84,450,4,42,460,6.6,122,2.074374,0.3090494,0.0069626,0.1686372,0.8848023,-0.088568,0.2094829,9,2
HDM 2129,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2129,"43Â° 4'27.16""N","27Â°43'28.99""E",cemetery,BSC,borer,unk,metal implement,copper,7,0.48,1,33,470,15.1,41,0.304186,-1.5653181,0.0015012,-0.0929333,-1.0718359,0.3213283,0.0975514,4,2
HDM 2130,LC,4450-4100 BC,Gumelnica,Goljamo Delcevo,HDM 2130,"43Â° 4'27.16""N","27Â°43'28.99""E",settlement,BSC,borer,unk,metal implement,copper,7,19.3,4,360,300,6.5,490,1.1879062,-0.9172002,0.7429212,0.4411416,0.4463229,0.0813706,-0.8760005,4,2
HDM 2140,LC,4450-4100 BC,Varna,Debrene Prilep,HDM 2140,"43Â°24'31.36""N","27Â°53'29.15""E",stray,NE,flat axe,Goljamo Delcevo,metal implement,copper,13600,149,1.5,25,111,4.7,22.7,2.0682987,2.165723,-0.6253542,0.0088082,-0.5721587,0.409661,0.3997719,9,2
HDM 2141,LC,4450-4100 BC,Varna III,Durankulak,HDM 2141,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,2790,760,3.5,40,800,14.1,95,2.9891449,1.3558606,-0.1355936,0.0274185,0.1432147,-0.0845306,0.3689757,9,2
HDM 2142,LC,4450-4100 BC,Varna III,Durankulak,HDM 2142,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,bracelet,unk,metal ornament,copper,20.2,330,4,30,770,11.4,120,1.9892089,-0.366631,0.0437016,0.0151126,1.0063693,-0.1591149,0.3528182,9,2
HDM 2143,LC,4450-4100 BC,KGK VI III,Hotnica,HDM 2143,"43Â° 9'36.30""N","25Â°31'49.96""E",settlement,BSC,borer,unk,metal implement,copper,257,380,1,110,9500,14.3,154,3.1000412,-0.0367683,-0.388907,0.3458207,0.0751332,-0.8293507,-0.0487488,9,2
HDM 2144,LC,4450-4100 BC,KGK VI III,Hotnica,HDM 2144,"43Â° 9'36.30""N","25Â°31'49.96""E",settlement,NC,borer,unk,metal implement,copper,1,0.9,0.5,52,271,5.5,146,0.0570527,-2.0732201,-0.1142453,0.421841,-0.2868377,0.4840902,-0.3841042,4,2
HDM 2145,LC,4450-4100 BC,KGK VI III,Hotnica,HDM 2145,"43Â° 9'36.30""N","25Â°31'49.96""E",settlement,NC,borer,unk,metal implement,copper,2,1,0.5,42,290,5.7,154,0.2240356,-1.8607694,-0.1419729,0.4614984,-0.4084982,0.5353343,-0.2832468,4,2
HDM 2146,LC,4450-4100 BC,KGK VI III,Hotnica,HDM 2146,"43Â° 9'36.30""N","25Â°31'49.96""E",settlement,NC,borer,unk,metal implement,copper,1.3,1,6,227,124,1.98,66,-0.5077614,-1.3531777,0.7779904,0.2871746,-0.0486357,-0.0347977,-0.5907697,4,2
HDM 2150,LC,4450-4100 BC,KGK VI III,Karanovo,HDM 2150,"42Â°31'12.78""N","25Â°55'46.62""E",settlement,THR,borer,unk,metal implement,copper,22.8,37,1,159,1260,8.9,2.1,0.9268784,-0.3108676,-0.7725597,-0.8181243,-0.1251746,-1.1567112,-0.0586637,9,2
HDM 2707,LC,4450-4100 BC,Varna/Gumelnica,Goljamo Delcevo,HDM 2707,"43Â° 4'27.16""N","27Â°43'28.99""E",cemetery,BSC,hooked wire,unk,metal implement,copper,26.7,52,0.6,144,1410,6.3,48,1.574478,-0.5545447,-0.5499923,0.1370665,0.0868003,-0.5507191,-0.369484,9,2
HDM 2709,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2709,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,copper strip,unk,metal ornament,copper,25,9.4,0.5,31,66,0.84,360,0.5614965,-0.3415674,-0.3697284,1.1633909,0.1389726,0.9118858,-0.3056255,4,2
HDM 2710,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2710,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,chisel,unk,metal implement,copper,4,0.85,0.5,22,370,9.4,100,0.3784385,-1.7412634,-0.2336221,0.2742249,-0.6880246,0.5830078,0.0423619,4,2
HDM 2711,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2711,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,production,copper,3,11.4,2.9,125,289,10.9,87,0.7357533,-1.2236953,0.3478629,-0.1222583,0.3416403,0.0107073,-0.3814329,4,2
HDM 2712,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2712,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,casting spill,unk,production,copper,43,12.4,0.4,26,276,6.2,176,1.2879343,-0.5682676,-0.5109291,0.4992656,-0.2422889,0.6384072,-0.0582,4,2
HDM 2713,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2713,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,casting spill,unk,metal implement,copper,41,6.9,0.1,16,290,6.6,221,1.2889704,-0.8453288,-0.9885347,0.6556123,-0.5121436,0.921407,-0.0885434,4,2
HDM 2714,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2714,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,3,6.4,0.2,28,790,9.4,164,1.0290388,-1.8058562,-0.677401,0.4101688,-0.0739955,0.3483395,-0.1402578,4,2
HDM 2715,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2715,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,ear ring,unk,metal ornament,copper,287,227,0.5,19,254,6.3,20.9,1.7787128,0.6840182,-1.0704651,-0.1216769,0.2405655,0.1398983,0.3541518,9,2
HDM 2716,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2716,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,3,1.69,0.2,28,400,9.8,164,0.6289802,-1.8828041,-0.5416027,0.3888111,-0.4485452,0.6491846,-0.2205706,4,2
HDM 2717,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2717,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,1.4,22.7,0.4,69,450,13.7,71,0.9403496,-1.6609431,-0.5371124,-0.1419201,0.5442384,0.0634472,-0.3808776,4,2
HDM 2718,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2718,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,2.8,5.9,0.5,40,520,11,188,0.9327065,-1.7113914,-0.2518316,0.2950557,0.0111275,0.3822545,-0.2088299,4,2
HDM 2719,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2719,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,4,200,0.5,24,610,8.6,222,1.7230542,-1.1492889,-0.6202828,0.3150376,1.1376875,0.1938512,0.0250575,4,2
HDM 2720,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2720,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,3300,234,99,182,153,18.9,24.8,2.1032633,1.9729086,1.2146258,-0.7487488,0.0038537,-0.2897866,0.2048003,9,2
HDM 2721,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2721,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,2.7,5.7,1.9,24,550,16.6,77,0.7901587,-1.6018171,0.0979609,-0.1040956,0.0307237,0.2000146,0.26134,4,2
HDM 2722,LC,4450-4100 BC,KGK VI II/III,Smjadovo,HDM 2722,"43Â° 4'1.43""N","27Â° 0'42.19""E",settlement,NE,borer,unk,metal implement,copper,4700,1500,0.2,16,650,38,410,3.7796099,1.0821928,-1.0848593,0.2356366,0.1029804,0.7826469,0.1664849,9,2
HDM 2726,LC,4450-4100 BC,?,Mezdra,HDM 2726,"43Â° 8'46.36""N","23Â°42'51.61""E",settlement,W,Heavy axe,Plocnik,metal implement,copper,6.3,5.1,0.1,89,16,0.47,1.4,-1.1467102,-0.1094888,-1.6793013,-0.2251347,0.0371927,0.0905574,-0.5861954,2,0
HDM 2725,LC,4450-4100 BC,KSBh II/III,Zaminec,HDM 2725,"43Â°10'43.14""N","23Â°43'18.39""E",settlement,W,flat axe,unk,metal implement,copper,142,145,0.1,180,980,149,18.2,2.5466662,-0.2720928,-1.2713673,-1.0783907,-0.305154,-0.1238333,-0.6365128,9,2
HDM 2727,LC,4450-4100 BC,KSBh II/III,Krivodol,HDM 2727,"43Â°22'5.64""N","23Â°28'30.52""E",settlement,W,borer,unk,metal implement,copper,150,22.6,6.7,82,96,4.4,7.7,0.6267301,0.7528933,0.1076277,-0.4740781,-0.159611,-0.1597384,0.1217558,9,2
HDM 2728,LC,4450-4100 BC,KSBh II/III,Zaminec,HDM 2728,"43Â°10'43.14""N","23Â°43'18.39""E",settlement,W,borer,unk,metal implement,copper,5,1.57,1.3,23,49,2.02,2.3,-0.9245564,-0.5910923,-0.5709177,-0.4739078,-0.3102156,0.1024192,0.3353963,2,2
HDM 2733,LC,4450-4100 BC,KSBh II/III,Zaminec,HDM 2733,"43Â°10'43.14""N","23Â°43'18.39""E",settlement,W,borer,unk,metal implement,copper,2380,3000,19.5,560,990,12.9,24.1,2.9355834,1.8671055,0.4142009,-0.5490833,0.6144196,-1.1312429,-0.2465219,9,2
HDM 1906,FC,4100-3700 BC,Bodrogkeresztur?,Plakuder,HDM 1906,"44Â° 3'3.06""N","22Â°44'37.03""E",hoard,W,axe-adze,Jaszladany,metal implement,copper,95,5.6,4,94,22,0.35,0.9,-0.9272878,1.1576053,-0.4051689,-0.2967491,-0.3197179,-0.369093,0.0532235,2,1
HDM 1907,FC,4100-3700 BC,Bodrogkeresztur?,Plakuder,HDM 1907,"44Â° 3'3.06""N","22Â°44'37.03""E",hoard,W,axe,Jaszladany,metal implement,copper,53,5.8,0.5,63,16,0.34,1.7,-0.8736318,0.7591196,-1.1264295,-0.0585599,-0.2423592,0.0796412,-0.1914195,2,1
HDM 1908,FC,4100-3700 BC,Bodrogkeresztur?,Plakuder,HDM 1908,"44Â° 3'3.06""N","22Â°44'37.03""E",hoard,W,axe,Jaszladany,metal implement,copper,35,5.4,1,68,9,0.23,0.4,-1.4524002,0.967952,-1.0833717,-0.4133759,-0.1053852,-0.178321,-0.0512571,2,1
HDM 1909,FC,4100-3700 BC,Bodrogkeresztur?,Plakuder,HDM 1909,"44Â° 3'3.06""N","22Â°44'37.03""E",hoard,W,axe,Jaszladany,metal implement,copper,53,4.1,1,73,15,0.43,0.8,-1.079719,0.8364046,-0.9185616,-0.3610355,-0.3616336,-0.0882261,-0.0903921,2,1
HDM 1913,FC,4100-3700 BC,KSBh IV,Telish,HDM 1913,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,axe-adze,Jaszladany,metal implement,copper,0.8,4,3.5,78,35,4.8,35,-0.4675982,-1.2662054,0.3283346,-0.2903661,0.5606229,0.4352231,-0.3348377,4,2
HDM 1914,FC,4100-3700 BC,KSBh IV,Telish,HDM 1914,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,axe,Jaszladany,metal implement,copper,510,63,1,49,68,1.26,9.1,0.8280595,1.304551,-0.8153219,0.053261,-0.0672002,0.0575862,0.0497523,9,2
HDM 1916,FC,4100-3700 BC,KSBh IV?,Kocan,HDM 1916,"41Â°35'19.15""N","23Â°42'9.17""E",settlement,W,axe,Mezokeresztes,metal implement,copper,128,12.4,8.9,109,75,1.6,2.2,-0.0257896,0.9554783,0.0474996,-0.5036939,-0.2727948,-0.5045627,0.1477684,2,0
HDM 1917,FC,4100-3700 BC,Bodrogkeresztur/KSBh?,Stolnik Elin Pelin,HDM 1917,"42Â°40'14.34""N","23Â°36'5.57""E",stray,W,axe,Jaszladany,metal implement,copper,5,5.6,1,73,27,0.45,0.5,-1.3655894,0.050944,-0.999541,-0.5409936,0.1763023,-0.4717902,-0.0384688,2,0
HDM 1919,FC,4100-3700 BC,Bodrogkeresztur/KSBh?,Ivanovo,HDM 1919,"43Â°41'34.77""N","25Â°57'5.65""E",stray,NE,axe-adze,Jaszladany,metal implement,copper,710,0.86,1,4,1.6,0.56,0.6,-1.4176228,1.7110377,-1.0651823,-0.441628,-1.1801489,1.2501129,0.871985,2,0
HDM 1941,FC,4100-3700 BC,KSBh IV,Ai Bunar,HDM 1941,"42Â°25'29.71""N","25Â°40'58.77""E",stray,THR,axe,Tirgu Okna,metal implement,copper,5400,28.6,2.5,91,87,1.54,8.5,1.0932988,2.0217107,-0.3659171,0.044164,-0.8554469,-0.0398225,0.0195173,9,2
HDM 2105,FC,4100-3700 BC,KSBh IV,Telish,HDM 2105,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,double spiral headed pin,unk,metal ornament,copper,860,79,3,116,155,23.6,28.1,1.8915696,1.0115141,-0.0047938,-0.6007341,-0.3034898,0.1691108,-0.1651513,9,2
HDM 2106,FC,4100-3700 BC,KSBh IV,Telish,HDM 2106,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,knife,unk,metal implement,copper,103,5.3,2.5,147,280,0.88,66,0.5914065,0.1897752,0.1413164,0.7774433,-0.5434419,-0.1662719,-0.3397767,9,2
HDM 2107,FC,4100-3700 BC,KSBh IV,Telish,HDM 2107,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,knife,unk,metal implement,copper,78,19.9,2,91,430,6,15.6,1.0440557,0.0663852,-0.2170302,-0.2098401,-0.2995833,-0.3526862,-0.0201992,9,2
HDM 2108,FC,4100-3700 BC,KSBh IV,Telish,HDM 2108,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,350,26.1,30,169,52,24.7,54,1.3215066,0.8876098,1.1350073,-0.6639496,-0.1750327,0.4051351,-0.1911258,9,2
HDM 2109,FC,4100-3700 BC,KSBh IV,Telish,HDM 2109,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,pin,unk,metal ornament,copper,12,7.7,2.5,142,920,16.3,51,1.1091187,-1.0113961,0.2493343,-0.2082922,-0.2983744,-0.3192645,-0.2553522,4,2
HDM 2110,FC,4100-3700 BC,KSBh IV,Telish,HDM 2110,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,10,43,3,42,650,14.4,18.7,1.1412416,-0.6986778,-0.1074612,-0.497821,0.3606966,-0.3757642,0.3089134,4,2
HDM 2111,FC,4100-3700 BC,KSBh IV,Telish,HDM 2111,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,7.6,4.8,1.5,51,32,1.13,6,-0.6627402,-0.2114831,-0.4328635,-0.1562679,0.1019891,0.148417,-0.0630401,2,2
HDM 2112,FC,4100-3700 BC,KSBh IV,Telish,HDM 2112,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,4.1,4.2,1,115,28,1.2,27.2,-0.5087963,-0.575935,-0.2541833,0.1691366,0.232712,0.3898573,-0.6072077,2,2
HDM 2113,FC,4100-3700 BC,KSBh IV,Telish,HDM 2113,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,3,1.6,0.5,53,144,1.71,9.3,-0.5213658,-1.099698,-0.6638287,0.0355609,-0.3158472,-0.0308337,-0.1527367,4,2
HDM 2114,FC,4100-3700 BC,KSBh IV,Telish,HDM 2114,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,4.5,32,1,430,1290,238,49,1.8966891,-1.5766009,0.0369145,-1.1558266,0.0758084,-0.3338023,-0.811089,4,2
HDM 2115,FC,4100-3700 BC,KSBh IV,Telish,HDM 2115,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,430,44,4.5,73,129,4.3,80,1.4418536,0.8660928,0.2270933,0.2041777,-0.1117949,0.2775804,-0.052332,9,2
HDM 2116,FC,4100-3700 BC,KSBh IV,Telish,HDM 2116,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,2.8,7.9,2.5,164,20,0.79,48,-0.5343797,-0.4699278,0.1386141,0.3167757,0.6813772,0.3540129,-0.7043183,2,2
HDM 2117,FC,4100-3700 BC,KSBh IV,Telish,HDM 2117,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,900,96,2,400,3200,9.3,59,2.5094584,0.6308731,-0.0515859,0.1430982,-0.5413904,-0.8825907,-0.4459419,9,2
HDM 2118,FC,4100-3700 BC,KSBh IV,Telish,HDM 2118,"43Â°19'39.70""N","24Â°15'40.46""E",settlement,NC,borer,unk,metal implement,copper,20.1,2.4,22.3,181,42,2.2,68,-0.1266674,-0.0718325,1.1710232,0.1653573,-0.1523701,0.2788584,-0.3640089,2,2
HDM 2213,FC,4100-3700 BC,Bodrogkeresztur/KSBh IV?,Zivlovci Montana,HDM 2213,"43Â°23'28.46""N","23Â° 9'27.12""E",stray,W,axe-adze,Jaszladany,metal implement,copper,193,15.9,85,95,32,1.01,4.6,-0.1412153,1.4391945,0.9609899,-0.3440917,0.0430886,-0.3374088,0.3755651,2,0
HDM 2705,FC,4100-3700 BC,Bodrogkeresztur/KSBh IV?,Plakuder,HDM 2705,"44Â° 3'3.06""N","22Â°44'37.03""E",hoard,W,axe,Jaszladany,metal implement,copper,15,3.7,0.5,88,11.3,0.22,0.4,-1.6013506,0.5568979,-1.2842625,-0.3701763,-0.1198524,-0.240618,-0.2467031,2,1
HDM 2706,FC,4100-3700 BC,Bodrogkeresztur?,Plakuder,HDM 2706,"44Â° 3'3.06""N","22Â°44'37.03""E",hoard,W,axe,Ariusd,metal implement,copper,4.9,2.3,0.1,85,11.9,0.22,0.5,-1.7578824,-0.0504341,-1.807837,-0.2489952,-0.1353494,-0.0726359,-0.5051221,2,1
HDM 2724,FC,4100-3700 BC,KSBh IV,Rebarkovo,HDM 2724,"43Â° 6'45.88""N","23Â°41'11.65""E",settlement,W,axe,Ariusd,metal implement,copper,53,26.9,0.5,81,99,0.57,7.3,0.1820139,0.4703987,-1.0164106,0.2523942,0.0961862,-0.2526048,-0.2330771,2,0
