LABEL analytical,relative period,absolute period,cultural attribution,Site,Sample label,Geo Latitude,Geo Longitude,Type of site/context,Region,Artefact type,Axe type,Category,Base,As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),Chemical cluster,
HDM 1489,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1489,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,60,2.8,7.8,196,0.9,0.43,0.4,-1.9246137,1.5672341,-0.0790995,-0.9378535,-0.1153731,0.2963569,-0.4062425,2,1
HDM 1490,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1490,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,7.3,1.1,215,71,1.1,0.054,3.4,-2.6111965,1.021756,1.3932388,0.1584848,0.5227018,0.2619142,0.2316995,2,1
HDM 1491,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1491,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,38,0.8,8.6,48,0.5,0.027,0.9,-2.803045,1.5706465,-0.0875243,0.2060127,-0.0888559,0.5848924,0.0187745,2,1
HDM 1492,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1492,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,10,0.3,45,70,0.6,0.058,0.3,-3.3077105,1.145098,0.5553755,-0.4105024,-0.1470499,0.203527,0.1835841,2,1
HDM 1493,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1493,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,17,2.6,4.9,46,6.1,0.37,1.8,-1.4960324,0.6035313,-0.1747673,-0.2661461,0.0097092,0.2462215,0.1122069,2,1
HDM 1494,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1494,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,copper prill,unk,production,copper,1.1,0.3,61,108,5.8,0.019,1.9,-3.1216682,0.0601166,0.9164732,0.5345117,0.2708698,-0.4279466,0.0764025,2,1
HDM 1495,EC,5000-4600 BC,Vinca culture,Selevac,HDM 1495,"44Â°29'43.00""N","20Â°52'25.00""E",settlement,SRB,malachite,unk,copper mineral,copper,95,2.8,110,149,1.3,0.43,0.5,-1.8552137,1.8607538,0.9227634,-0.940817,-0.0606751,0.0572635,0.0986564,2,1
HDM 1969,EC,5000-4600 BC,Hamangia II,Durankulak,HDM 1969,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,malachite bead,unk,mineral ornament,copper,7.2,1.32,1.5,13,0.7,0.026,0.5,-2.944248,0.8943642,-0.9957356,0.1585773,0.2960067,0.6310206,0.3324436,2,1
HDM 1970,EC,5000-4600 BC,Hamangia II,Durankulak,HDM 1970,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,malachite bead,unk,mineral ornament,copper,2.9,0.25,4,25,4,0.76,0.6,-2.3956664,-0.2516238,-0.1904556,-0.7492498,-0.4437524,0.4471844,0.3142806,2,1
HDM 2004,EC,5000-4600 BC,Hamangia II,Durankulak,HDM 2004,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,malachite bead,unk,mineral ornament,copper,45,0.9,500,152,0.7,0.56,6.6,-1.873501,1.3979992,2.0344315,-0.4668289,0.0034498,0.7092487,-0.0345222,2,1
HDM 2209,EC,5000-4600 BC,Hamangia I,Durankulak,HDM 2209,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,malachite bead,unk,mineral ornament,copper,1.5,0.09,20.7,37,2.3,0.031,0.8,-3.5105668,0.0314072,0.4266031,0.2268869,-0.2269692,0.1040825,0.3180498,2,1
HDM 2210,EC,5000-4600 BC,Hamangia III,Durankulak,HDM 2210,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,malachite bead,unk,mineral ornament,copper,34,0.08,4,97,0.7,0.012,0.5,-3.4656783,1.2958206,-0.2443511,0.4487433,-0.915246,0.3701829,-0.2805609,2,1
HDM 2211,EC,5000-4600 BC,Hamangia III,Durankulak,HDM 2211,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,malachite bead,unk,mineral ornament,copper,18,1.9,280,157,0.9,0.022,0.5,-2.9428605,1.792693,1.1589215,-0.109627,0.5006051,-0.3362078,0.1590707,2,1
HDM 2212,EC,5000-4600 BC,Hamangia III,Durankulak,HDM 2212,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,malachite bead,unk,mineral ornament,copper,18.9,0.4,320,228,1,0.016,0.9,-3.1955984,1.5900665,1.4566163,0.2027113,0.0058788,-0.2520925,-0.0182037,2,1
HDM 1904,EC,5000-4600 BC,Dikilitash Slatino Gradesnica,Slatino,HDM 1904,"42Â°11'10.23""N","23Â° 3'46.62""E",settlement,W,chisel,unk,metal implement,copper,1,68,1,52,540,13.2,67,1.084922,-1.5717666,-0.3273149,-0.2185073,1.0370771,-0.1326372,-0.1183358,4,2
HDM 1912,EC,5000-4600 BC,Marica III,Marica,HDM 1912,"41Â°57'47.48""N","25Â°33'52.08""E",settlement,THR,heavy axe,unk,metal implement,copper,2,14.7,1.5,130,530,10.2,70,0.8188785,-1.4453172,0.0358626,-0.094587,0.3971877,-0.2046146,-0.4128985,4,2
HDM 1975,EC,5000-4600 BC,Hamangia III,Durankulak,HDM 1975,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,770,770,2,39,420,8.1,83,2.5353525,1.0723797,-0.382201,0.0880851,0.5030798,0.0134276,0.2218426,9,1
HDM 2005,EC,5000-4600 BC,Hamangia III,Durankulak,HDM 2005,"43Â°41'13.71""N","28Â°31'51.97""E",cemetery,BSC,Finger ring,unk,metal ornament,copper,6.3,0.44,11.1,20,370,4.6,27.8,-0.2079501,-1.1857616,0.7479428,0.0740017,-0.8064829,0.0336794,0.6495729,4,1
MA-140918,MC,4600-4450 BC,Vinca culture,Plocnik,P10/13,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,metal foil corroded,unk,metal implement,copper,0.92,0.28,14.9,86,6.4,0.079,0.8,-2.9448244,-0.2555689,0.322389,-0.0657383,0.0385229,-0.2941049,0.0401306,2,2
MA-140923,MC,4600-4450 BC,Vinca culture,Plocnik,C_P1/13,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,Metal earing,unk,metal implement,copper,10.6,6.26,2.9,74,230,0.41,6.2,-0.3918122,-0.1778356,-0.2637533,0.3234829,0.0070615,-0.687738,0.106116,2,2
MA-140924,MC,4600-4450 BC,Vinca culture,Plocnik,C_P2/13,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,Metal ring,unk,metal implement,copper,0.0001,0.0001,41,21,6,0.0001,0.0001,-9.1772362,-2.4989226,-0.3814315,-0.2269608,-0.4450447,-2.6171957,1.369133,0,2
MA-140907,MC,4600-4450 BC,Vinca culture,Belovode,B23/12,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Slagged sherd,unk,production,copper,9.9,1.16,55,47,2.1,0.01,4.4,-2.6596339,1.0816415,0.756265,0.9251161,0.4513755,0.1106121,0.2651896,2,1
MA-140909,MC,4600-4450 BC,Vinca culture,Belovode,B47/12,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Metal from slagged sherd,unk,production,copper,15.7,2.02,68,160,2.3,0.012,2.1,-2.560274,1.4142674,0.7893279,0.6091506,0.4626055,-0.2858783,-0.083988,2,1
MA-140910,MC,4600-4450 BC,Vinca culture,Belovode,B21/13,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Copper mineral,unk,copper mineral,copper,14.1,0.84,5.8,69,0.8,0.01,0.7,-3.096871,1.3114511,-0.3037341,0.4702424,0.1202764,0.201091,-0.1171388,2,1
MA-140914,MC,4600-4450 BC,Vinca culture,Belovode,Bf21/12,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Metal,unk,metal implement,copper,4,0.2,15.5,180,9.9,0.044,3.2,-2.5502799,0.0810918,0.5910015,0.5586417,-0.3547919,-0.2581598,-0.2883682,2,1
MA-140915,MC,4600-4450 BC,Vinca culture,Belovode,Bf22/12/2,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,metal?,unk,metal implement,copper,434,4.12,0.9,19,152,0.103,159,0.4193057,0.7413542,-0.4147697,1.8446579,-0.7036177,0.4351898,0.2109364,9,1
MA 152381,MC,4600-4450 BC,Vinca culture,Belovode,B24/12,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,slag?,unk,production,copper,0.0001,0.0001,16,38,7,0.0001,0.0001,-9.1030196,-2.582804,-0.6858733,-0.1942827,-0.5403787,-2.6767299,1.0243177,0,1
MA-103713,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 190,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper slag droplet,unk,production,copper,6,0.48,45,50,5.3,0.087,3.5,-2.3209874,0.3764833,0.8567771,0.2857241,-0.0230979,0.1041787,0.2911521,2,1
MA-103719,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 183,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper awl,unk,metal implement,copper,8.7,1.93,10.8,130,11.2,2.28,19.3,-0.7668671,-0.1200891,0.7233115,-0.2737357,0.0035945,0.5238744,-0.3761826,2,1
MA-103721,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 185,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper hook,unk,metal implement,copper,4.3,5.9,7.3,50,173,6.8,29.9,0.2202193,-0.897629,0.4846461,-0.2574719,0.1639914,0.0166497,0.1584703,4,1
MA-103723,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 195,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper bracelet,unk,metal ornament,copper,93.8,23.2,1.33,140,65,3.7,8.3,0.5283555,0.5574237,-0.4466053,-0.4026202,-0.1088773,-0.0129076,-0.3680344,9,1
MA-103712,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 197,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper mineral,unk,copper mineral,copper,1.9,2,272,400,3,0.046,4,-2.5241314,0.596152,1.6015539,0.18375,0.9070274,-0.4286205,-0.3389666,2,1
MA-103715,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 193,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper wire,unk,metal implement,copper,5.7,0.85,18.2,240,10.3,1.16,9.8,-1.3103431,-0.1279193,0.913592,-0.2728315,-0.1307504,0.217729,-0.4923811,2,1
MA-103716,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 192a,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,metal droplet,unk,production,copper,2.25,0.33,4.2,50,3.5,0.097,1.8,-2.634204,-0.0873917,-0.0863677,0.1309886,-0.0870479,0.306224,-0.048263,2,1
MA-103717,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 181,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper prill from slag?,unk,production,copper,7700,2480,0.0001,1300,47300,4.8,20,4.1878985,0.7120589,-4.2699057,0.6927697,-0.938647,-1.4318522,-1.8301654,9,1
MA-103718,MC,4600-4450 BC,Vinca culture,Gornja Tuzla,Gornja Tuzla 198a,"44Â°33'23.83""N","18Â°45'45.32""E",settlement,SRB,copper awl,unk,metal implement,copper,4.6,0.43,5.9,45,6.3,0.16,5.2,-2.0598401,-0.0577713,0.1855651,0.3059588,-0.182568,0.4060949,0.0133614,2,1
